Dates,Times,CheckoutDur,title
2012-08-25,16:58:00,16,"fault in our stars"
2012-08-25,16:40:00,18,"fault in our stars"
2012-08-25,17:32:00,31,"fault in our stars"
2012-09-04,10:51:00,7,"fault in our stars"
2012-09-04,11:37:00,19,"fault in our stars"
2012-09-04,19:29:00,19,"fault in our stars"
2012-09-05,18:30:00,4,"fault in our stars"
2012-09-05,16:45:00,19,"fault in our stars"
2012-09-06,16:20:00,18,"fault in our stars"
2012-09-06,17:35:00,18,"fault in our stars"
2012-09-07,15:48:00,7,"fault in our stars"
2012-09-07,14:52:00,7,"fault in our stars"
2012-09-07,17:33:00,12,"fault in our stars"
2012-09-08,14:41:00,1,"fault in our stars"
2012-09-08,12:17:00,8,"fault in our stars"
2012-09-08,12:57:00,9,"fault in our stars"
2012-09-11,16:51:00,14,"fault in our stars"
2012-09-11,15:23:00,16,"fault in our stars"
2012-09-11,13:52:00,37,"fault in our stars"
2012-09-12,12:50:00,16,"fault in our stars"
2012-09-13,16:32:00,5,"fault in our stars"
2012-09-13,15:09:00,16,"fault in our stars"
2012-09-14,17:45:00,3,"fault in our stars"
2012-09-14,16:14:00,5,"fault in our stars"
2012-09-14,15:27:00,14,"fault in our stars"
2012-09-15,12:44:00,11,"fault in our stars"
2012-09-15,16:13:00,16,"fault in our stars"
2012-09-16,13:59:00,21,"fault in our stars"
2012-09-17,15:19:00,14,"fault in our stars"
2012-09-17,12:32:00,17,"fault in our stars"
2012-09-17,16:24:00,18,"fault in our stars"
2012-09-17,19:32:00,20,"fault in our stars"
2012-09-17,15:41:00,23,"fault in our stars"
2012-09-18,18:39:00,24,"fault in our stars"
2012-09-19,11:45:00,36,"fault in our stars"
2012-09-20,11:26:00,16,"fault in our stars"
2012-09-20,17:01:00,17,"fault in our stars"
2012-09-21,16:38:00,11,"fault in our stars"
2012-09-21,16:39:00,41,"fault in our stars"
2012-09-22,11:19:00,2,"fault in our stars"
2012-09-22,15:23:00,18,"fault in our stars"
2012-09-22,14:29:00,31,"fault in our stars"
2012-09-23,13:53:00,17,"fault in our stars"
2012-09-23,15:41:00,19,"fault in our stars"
2012-09-24,10:45:00,7,"fault in our stars"
2012-09-24,10:39:00,19,"fault in our stars"
2012-09-25,19:31:00,20,"fault in our stars"
2012-09-25,16:18:00,21,"fault in our stars"
2012-09-25,13:44:00,21,"fault in our stars"
2012-09-26,16:08:00,5,"fault in our stars"
2012-09-26,12:55:00,23,"fault in our stars"
2012-09-28,17:11:00,0,"fault in our stars"
2012-09-28,10:56:00,17,"fault in our stars"
2012-09-29,17:42:00,17,"fault in our stars"
2012-09-29,17:25:00,18,"fault in our stars"
2012-09-29,16:16:00,31,"fault in our stars"
2012-09-30,14:59:00,2,"fault in our stars"
2012-10-01,17:40:00,20,"fault in our stars"
2012-10-01,16:46:00,29,"fault in our stars"
2012-10-02,17:37:00,8,"fault in our stars"
2012-10-02,17:51:00,21,"fault in our stars"
2012-10-02,15:13:00,35,"fault in our stars"
2012-10-03,16:09:00,12,"fault in our stars"
2012-10-03,11:58:00,15,"fault in our stars"
2012-10-03,15:34:00,17,"fault in our stars"
2012-10-03,17:16:00,19,"fault in our stars"
2012-10-04,11:09:00,6,"fault in our stars"
2012-10-04,12:59:00,7,"fault in our stars"
2012-10-04,14:33:00,7,"fault in our stars"
2012-10-04,17:56:00,8,"fault in our stars"
2012-10-05,15:24:00,12,"fault in our stars"
2012-10-06,12:46:00,6,"fault in our stars"
2012-10-06,14:53:00,12,"fault in our stars"
2012-10-06,16:15:00,17,"fault in our stars"
2012-10-06,11:41:00,20,"fault in our stars"
2012-10-06,10:32:00,21,"fault in our stars"
2012-10-06,14:12:00,59,"fault in our stars"
2012-10-07,15:23:00,18,"fault in our stars"
2012-10-08,18:12:00,2,"fault in our stars"
2012-10-08,18:07:00,7,"fault in our stars"
2012-10-08,13:06:00,10,"fault in our stars"
2012-10-08,18:49:00,16,"fault in our stars"
2012-10-08,19:54:00,18,"fault in our stars"
2012-10-08,12:19:00,37,"fault in our stars"
2012-10-09,14:04:00,6,"fault in our stars"
2012-10-09,15:03:00,14,"fault in our stars"
2012-10-09,17:33:00,14,"fault in our stars"
2012-10-09,12:20:00,15,"fault in our stars"
2012-10-09,14:46:00,16,"fault in our stars"
2012-10-10,16:00:00,8,"fault in our stars"
2012-10-10,12:17:00,13,"fault in our stars"
2012-10-10,17:56:00,19,"fault in our stars"
2012-10-10,16:07:00,21,"fault in our stars"
2012-10-10,17:06:00,23,"fault in our stars"
2012-10-11,15:49:00,4,"fault in our stars"
2012-10-11,15:11:00,19,"fault in our stars"
2012-10-12,13:04:00,7,"fault in our stars"
2012-10-12,17:43:00,17,"fault in our stars"
2012-10-13,17:08:00,18,"fault in our stars"
2012-10-13,12:27:00,20,"fault in our stars"
2012-10-13,14:04:00,21,"fault in our stars"
2012-10-13,13:19:00,22,"fault in our stars"
2012-10-13,16:22:00,25,"fault in our stars"
2012-10-13,13:33:00,26,"fault in our stars"
2012-10-14,13:30:00,29,"fault in our stars"
2012-10-15,11:48:00,17,"fault in our stars"
2012-10-16,13:56:00,12,"fault in our stars"
2012-10-16,16:06:00,17,"fault in our stars"
